##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_900005855.1	PRJNA354190	SAMEA2074505	CVMV00000000.1	representative genome	5849	5849	Plasmodium gallinaceum	strain=8A	na	latest	Scaffold	Major	Full	2016/11/18	PGAL8A	WTSI	GCA_900005855.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/855/GCF_900005855.1_PGAL8A	na	na	na	haploid	protozoa	24997804	23842463	18.000000	0	152	152	WTSI	Annotation submitted by WTSI	2023/04/03	5451	5279	147	17047998
GCF_000006355.2	PRJNA33651	SAMEA2272753	CADCXE000000000.1	representative genome	5851	5850	Plasmodium knowlesi strain H	strain=H	na	latest	Chromosome	Major	Full	2020/02/24	GCA_000006355.2	Wellcome Trust Sanger Institute	GCA_000006355.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.2_GCA_000006355.2	na	na	na	haploid	protozoa	24359384	24348038	38.500000	14	162	162	Wellcome Trust Sanger Institute	Annotation submitted by Wellcome Trust Sanger Institute	2023/04/03	5464	5324	128	18843368;15901839
GCF_001601855.1	PRJNA329100	SAMN04053640	LVLA00000000.1	representative genome	5854	5854	Plasmodium reichenowi	strain=SY57	na	latest	Chromosome	Major	Full	2016/04/08	ASM160185v1	UPENNBL	GCA_001601855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/601/855/GCF_001601855.1_ASM160185v1	na	na	na	haploid	protozoa	20477502	19651146	18.500000	14	776	776	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2017/02/17	5255	5040	141	27002652
GCF_000002415.2	PRJNA20431	SAMN02953638	AAKM00000000.1	representative genome	5855	5855	Plasmodium vivax	strain=Salvador I	Salvador I	latest	Chromosome	Major	Full	2009/05/06	ASM241v2	TIGR	GCA_000002415.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2	na	na	na	haploid	protozoa	27007701	26959301	42.500000	14	2747	2763	TIGR	Annotation submitted by TIGR	2023/04/03	5510	5392	76	18843361;15901839
GCF_000956335.1	PRJNA282950	SAMN00013493	JOOM00000000.1	representative genome	5857	5857	Plasmodium fragile	strain=nilgiri	na	latest	Scaffold	Major	Full	2015/03/20	Plas_frag_nilgiri_V1	Broad Institute	GCA_000956335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/335/GCF_000956335.1_Plas_frag_nilgiri_V1	na	na	na	haploid	protozoa	25878926	22907826	41.500000	0	247	1767	Broad Institute	Annotation submitted by Broad Institute	2020/01/17	5743	5671	57	na
GCF_900090045.1	PRJNA348337	SAMEA3923181	FLRL00000000.1	representative genome	5858	5858	Plasmodium malariae	na	na	latest	Chromosome	Major	Full	2016/12/13	PmUG01	WTSI	GCA_900090045.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/045/GCF_900090045.1_PmUG01	na	na	na	haploid	protozoa	33577742	33577742	24.500000	14	61	61	WTSI	Annotation submitted by WTSI	2023/04/03	6677	5926	108	na
GCF_900002385.2	PRJNA317465	SAMEA1032065	na	representative genome	5861	5861	Plasmodium yoelii	strain=17X	na	latest	Complete Genome	Major	Full	2019/06/04	GCA_900002385	WTSI	GCA_900002385.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385	na	na	na	haploid	protozoa	23043114	23043114	21.500000	14	14	14	WTSI	Annotation submitted by WTSI	2020/05/23	6233	6037	138	25359557
GCF_000981445.1	PRJNA282952	SAMEA819968	na	representative genome	5866	5866	Babesia bigemina	strain=Bond	na	latest	Chromosome	Major	Full	2014/06/13	Bbig001	SC	GCA_000981445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/445/GCF_000981445.1_Bbig001	na	na	na	haploid	protozoa	13840936	13840936	50.500000	5	483	483	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/06/16	5080	5069	0	24799432
GCF_000003225.4	PRJNA16308	SAMEA3138180	na	representative genome	5874	5874	Theileria annulata	strain=Ankara isolate clone C9	na	latest	Chromosome	Major	Full	2005/07/29	ASM322v1	The Sanger Institute	GCA_000003225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.4_ASM322v1	na	na	na	haploid	protozoa	8352220	8352020	32.500000	4	7	7	The Sanger Institute	Annotation submitted by The Sanger Institute	2021/02/01	3796	3795	0	15994557
GCF_000165425.1	PRJNA19409	SAMEA3138302	CAAL00000000.1	representative genome	5888	5888	Paramecium tetraurelia	strain=Stock d4-2	na	latest	Scaffold	Major	Full	2007/02/02	ASM16542v1	Genoscope	GCA_000165425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/425/GCF_000165425.1_ASM16542v1	na	na	na	haploid	protozoa	72094543	71518182	28.000000	0	697	1907	Genoscope	Annotation submitted by Genoscope	2022/12/20	39642	39642	0	17086204
GCF_000220395.1	PRJNA182525	SAMN02953779	AEDN00000000.1	representative genome	5932	5932	Ichthyophthirius multifiliis	strain=G5	na	latest	Scaffold	Major	Full	2011/07/18	JCVI-IMG1-V.1	J. Craig Venter Institute	GCA_000220395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/395/GCF_000220395.1_JCVI-IMG1-V.1	na	na	na	haploid	protozoa	48799969	48715068	16.000000	0	2017	2274	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2013/03/27	8213	8056	153	na
GCF_000151665.1	PRJNA263384	SAMEA2272370	CABX00000000.1	representative genome	12968	12968	Blastocystis hominis	na	Singapore isolate B (sub-type 7)	latest	Scaffold	Major	Full	2010/07/06	ASM15166v1	Genoscope - Institut de Genomique - CEA	GCA_000151665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/665/GCF_000151665.1_ASM15166v1	na	na	na	haploid	protozoa	18817245	18743709	45.000000	0	54	155	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/06/29	6020	6020	0	na
GCF_900002335.3	PRJNA317457	SAMEA768774	na	representative genome	31271	5825	Plasmodium chabaudi chabaudi	strain=AS	na	latest	Chromosome	Major	Partial	2019/06/04	GCA_900002335	WTSI	GCA_900002335.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.3_GCA_900002335	partial	na	na	haploid	protozoa	18938342	18938342	23.500000	14	14	14	WTSI	Annotation submitted by WTSI	2023/04/12	5389	5199	166	23613931;25359557
GCF_000002765.6	PRJNA148	SAMN00102897	na	representative genome	36329	5833	Plasmodium falciparum 3D7	na	3D7	latest	Complete Genome	Minor	Full	2016/04/07	GCA_000002765	Plasmodium falciparum Genome Sequencing Consortium	GCA_000002765.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.6_GCA_000002765	na	na	na	haploid	protozoa	23292622	23292622	19.500000	14	14	14	Plasmodium falciparum Genome Sequencing Consortium	Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium	2020/09/10	5615	5282	175	10448855;12368867;9804551;12368864
GCF_000186865.1	PRJNA259758	SAMN02953754	ACJI00000000.1	representative genome	44056	44056	Aureococcus anophagefferens	strain=CCMP1984	na	latest	Scaffold	Major	Full	2011/02/15	v 1.0	DOE Joint Genome Institute	GCA_000186865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/865/GCF_000186865.1_v_1.0	na	na	na	haploid	protozoa	56660572	50871901	69.500000	0	1185	5239	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2014/09/04	11522	11520	0	21368207
GCF_000499745.2	PRJNA263398	SAMEA3138829	CBUT000000000.1	representative genome	44415	44415	Eimeria mitis	strain=Houghton	na	latest	Scaffold	Major	Full	2013/11/06	EMH001	WTSI	GCA_000499745.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/745/GCF_000499745.2_EMH001	na	na	na	haploid	protozoa	72240319	66902759	47.500000	0	15978	65610	WTSI	Annotation submitted by WTSI	2020/12/03	10073	10073	0	na
GCF_000499385.1	PRJNA263405	SAMEA3138811	CBUZ000000000.1	representative genome	51315	51315	Eimeria necatrix	strain=Houghton	na	latest	Scaffold	Major	Full	2013/11/06	ENH001	SC	GCA_000499385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/385/GCF_000499385.1_ENH001	na	na	na	haploid	protozoa	55007932	54911932	51.000000	0	3707	4667	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/08/21	8584	8584	0	na
GCF_003324165.1	PRJNA772182	SAMN08798945	PYSW00000000.2	representative genome	51637	51637	Naegleria lovaniensis	strain=ATCC 30569	na	latest	Scaffold	Major	Full	2021/02/04	Nlova_2.1	University of Bern	GCA_003324165.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/165/GCF_003324165.1_Nlova_2.1	na	na	na	haploid	protozoa	30830176	30827743	37.000000	1	110	110	University of Bern	Annotation submitted by University of Bern	2021/11/18	14755	14755	0	30185166
GCF_900681995.1	PRJNA667746	SAMEA5241084	na	representative genome	54757	5860	Plasmodium vinckei vinckei	na	na	latest	Complete Genome	Major	Full	2019/01/30	PVVCY_v1	KAUST	GCA_900681995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/681/995/GCF_900681995.1_PVVCY_v1	na	na	na	haploid	protozoa	18338688	18338688	23.000000	14	14	14	KAUST	Annotation submitted by KAUST	2020/11/14	5147	5050	78	na
GCF_000002975.1	PRJNA210	SAMEA3865277	na	na	55529	55529	Guillardia theta	na	na	latest	Chromosome	Major	Partial	2001/04/26	ASM297v1	Institute for Marine Biosciences, Halifax, Canada	GCA_000002975.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/975/GCF_000002975.1_ASM297v1	partial	na	na	haploid	protozoa	551264	551264	26.500000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021/05/24	743	632	103	9929392;11323671;10618395
GCF_002087225.1	PRJNA534293	SAMN03296061	NBCO00000000.1	representative genome	67003	67003	Trypanosoma theileri	na	Edinburgh	latest	Scaffold	Major	Full	2017/04/12	Tth v3	University of Edinburgh	GCA_002087225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/087/225/GCF_002087225.1_Tth_v3	na	na	na	haploid	protozoa	29822211	25689709	40.000000	0	319	319	University of Edinburgh	Annotation submitted by University of Edinburgh	2019/04/25	11312	11312	0	na
GCF_000149755.1	PRJNA262907	SAMN02953656	AAQY00000000.2	representative genome	67593	67593	Phytophthora sojae	strain=P6497	na	latest	Scaffold	Major	Full	2011/10/03	P.sojae V3.0	US DOE Joint Genome Institute, USA, Walnut Creek	GCA_000149755.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/755/GCF_000149755.1_P.sojae_V3.0	na	na	na	haploid	protozoa	82597641	79327276	54.500000	0	82	862	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2014/10/09	28142	26489	1628	16946064
GCF_000691245.1	PRJNA258390	SAMN02726834	JMRU00000000.1	representative genome	71804	71804	Trypanosoma grayi	strain=ANR4	na	latest	Scaffold	Major	Full	2014/05/15	Tgr_V1	University of Dundee	GCA_000691245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/245/GCF_000691245.1_Tgr_V1	na	na	na	haploid	protozoa	20934132	20794052	54.000000	0	2871	2871	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/06/09	10676	10583	89	na
GCF_002157705.1	PRJNA531689	SAMD00076127	BDQF00000000.1	representative genome	77519	77519	Plasmodium gonderi	strain=ATCC 30045	na	latest	Scaffold	Major	Full	2017/05/17	Pgonderi_assembly01	Osaka University	GCA_002157705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/705/GCF_002157705.1_Pgonderi_assembly01	na	na	na	haploid	protozoa	32965758	32851193	27.000000	14	741	741	Osaka University	Annotation submitted by Osaka University	2019/04/17	6010	5912	97	28705975
GCF_003719485.1	PRJNA544729	SAMN04565988	MKKU00000000.1	representative genome	83891	83891	Trypanosoma conorhini	strain=025E	na	latest	Scaffold	Major	Full	2018/11/08	ASM371948v1	Virginia Commonwealth University	GCA_003719485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/485/GCF_003719485.1_ASM371948v1	na	na	na	haploid	protozoa	21334213	21137820	57.000000	0	1658	1658	Virginia Commonwealth University	Annotation submitted by Virginia Commonwealth University	2019/05/29	10321	10148	72	30355302
GCF_900005765.1	PRJNA354189	SAMEA2385706	CVMU00000000.1	representative genome	85471	85471	Plasmodium relictum	strain=SGS1	na	latest	Chromosome	Major	Full	2016/11/17	PRELSG	WTSI	GCA_900005765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/765/GCF_900005765.1_PRELSG	na	na	na	haploid	protozoa	22571969	22544223	18.500000	14	512	512	WTSI	Annotation submitted by WTSI	2023/04/03	5301	5132	128	16108566
GCF_002999335.1	PRJNA481327	SAMN08618443	PVNT00000000.1	representative genome	88456	88456	Cyclospora cayetanensis	na	NF1_C8	latest	Contig	Major	Full	2018/03/14	CcayRef3	CFSAN	GCA_002999335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/999/335/GCF_002999335.1_CcayRef3	na	na	na	haploid	protozoa	44363576	44363576	52.000000	0	738	738	NCBI RefSeq	NCBI Cyclospora cayetanensis Annotation Release 100	2018/09/05	6043	5793	147	na
GCF_002563875.1	PRJNA544713	SAMN04330037	NWUJ00000000.1	representative genome	94643	94643	Besnoitia besnoiti	strain=Bb-Ger1	na	latest	Chromosome	Major	Full	2017/10/18	Bbes1.0	Hernan Lorenzi	GCA_002563875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/563/875/GCF_002563875.1_Bbes1.0	na	na	na	haploid	protozoa	58810784	58810784	57.000000	13	185	185	Hernan Lorenzi	Annotation submitted by Hernan Lorenzi	2019/05/29	8546	8220	326	29146849
GCF_000223845.1	PRJNA259233	SAMN01120375	AFNH00000000.2	representative genome	110365	110365	Gregarina niphandrodes	na	na	latest	Scaffold	Major	Full	2014/04/11	GNI3	J. Craig Venter Institute	GCA_000223845.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/845/GCF_000223845.1_GNI3	na	na	na	haploid	protozoa	14009070	13637929	54.000000	0	469	2679	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/01/21	6606	6375	231	na
GCF_000520075.1	PRJNA264335	SAMN01906578	AYTG00000000.1	representative genome	112090	112090	Aphanomyces astaci	strain=APO3	na	latest	Scaffold	Major	Full	2014/01/14	Apha_asta_APO3_V1	Broad Institute	GCA_000520075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/075/GCF_000520075.1_Apha_asta_APO3_V1	na	na	na	haploid	protozoa	75844385	58572286	50.000000	0	835	4659	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2014/10/21	19584	19119	247	na
GCF_000520115.1	PRJNA258292	SAMN01907307	AYTH00000000.1	representative genome	157072	157072	Aphanomyces invadans	strain=NJM9701	na	latest	Scaffold	Major	Full	2014/01/15	Apha_inva_NJM9701_V1	Broad Institute	GCA_000520115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/115/GCF_000520115.1_Apha_inva_NJM9701_V1	na	na	na	haploid	protozoa	71402472	41452127	54.000000	0	481	5193	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2014/08/18	15416	15248	143	na
GCF_001293395.1	PRJNA313437	SAMN03702862	LGTL00000000.1	representative genome	157538	157538	Leptomonas pyrrhocoris	na	H10	latest	Scaffold	Major	Full	2015/09/17	ASM129339v1	University of Ostrava	GCA_001293395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/395/GCF_001293395.1_ASM129339v1	na	na	na	haploid	protozoa	30379903	30266312	56.500000	0	60	60	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016/03/02	10130	9872	258	27021793
GCF_000002445.2	PRJNA15565	SAMN02953625	na	representative genome	185431	5691	Trypanosoma brucei brucei TREU927	strain=927/4 GUTat10.1	927/4 GUTat10.1	latest	Chromosome	Major	Full	2005/12/14	ASM244v1	Trypanosoma brucei consortium	GCA_000002445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/445/GCF_000002445.2_ASM244v1	na	na	na	haploid	protozoa	26075494	26071904	46.500000	11	12	134	Trypanosoma brucei consortium	Annotation submitted by Trypanosoma brucei consortium	2018/04/13	10221	8758	556	16020726;12907729;16020724
GCF_002897235.1	PRJNA534280	SAMD00078978	BDSA00000000.1	representative genome	189622	189622	Babesia ovata	strain=Miyake	na	latest	Contig	Major	Full	2017/12/15	Bovata_7.1	Research Center for Zoonosis Control, Hokkaido univ	GCA_002897235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/897/235/GCF_002897235.1_Bovata_7.1	na	na	na	haploid	protozoa	14453397	14453397	49.500000	0	91	91	Research Center for Zoonosis Control, Hokkaido univ	Annotation submitted by Research Center for Zoonosis Control, Hokkaido univ	2019/04/25	5108	5031	77	29078748
GCF_001680005.1	PRJNA329102	SAMN04571750	na	representative genome	208452	208452	Plasmodium coatneyi	strain=Hackeri	na	latest	Chromosome	Major	Full	2016/07/06	ASM168000v1	Malaria Host-Pathogen Interaction Center	GCA_001680005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/680/005/GCF_001680005.1_ASM168000v1	na	na	na	haploid	protozoa	27685530	27685430	39.500000	14	14	14	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2017/02/02	5575	5516	59	27587810
GCF_000002455.1	PRJNA27939	na	na	na	227086	227086	Bigelowiella natans	na	na	latest	Chromosome	Major	Partial	2006/07/28	ASM245v1	University of Melbourne, Australia	GCA_000002455.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/455/GCF_000002455.1_ASM245v1	partial	na	na	haploid	protozoa	372870	372870	28.500000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2007/12/06	426	344	78	16990439;16760254
GCF_000203815.1	PRJNA193617	SAMN02953769	ADHC00000000.1	representative genome	261658	261658	Cavenderia fasciculata	na	SH3	latest	Scaffold	Major	Full	2011/04/13	DFas_2.0	Leibniz Institute for Age Research - Fritz Lipmann Institute	GCA_000203815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/815/GCF_000203815.1_DFas_2.0	na	na	na	haploid	protozoa	31019208	31018208	34.000000	0	25	35	Leibniz Institute for Age Research - Fritz Lipmann Institute	Annotation submitted by Leibniz Institute for Age Research - Fritz Lipmann Institute	2023/10/25	12333	12135	198	21757610
