##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_002022765.2	PRJNA379157	SAMN06349363	MWPT00000000.3	representative genome	6565	6565	Crassostrea virginica	na	RU13XGHG1-28	latest	Complete Genome	Major	Full	2017/09/01	C_virginica-3.0	McDonnell Genome Institute - Washington University School of Medicine	GCA_002022765.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/765/GCF_002022765.2_C_virginica-3.0	na	na	na	haploid	invertebrate	684723884	684658084	35.000000	10	10	10	NCBI RefSeq	NCBI Crassostrea virginica Annotation Release 100	2017/09/11	39505	34608	4230	16132463
GCF_002113885.1	PRJNA390633	SAMN03013375	NEDP00000000.2	representative genome	6573	6573	Mizuhopecten yessoensis	strain=PY_sf001	na	latest	Scaffold	Major	Full	2017/06/12	ASM211388v2	Novogene	GCA_002113885.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/113/885/GCF_002113885.1_ASM211388v2	na	na	na	haploid	invertebrate	987568220	907597680	36.500000	0	82658	82658	NCBI RefSeq	NCBI Mizuhopecten yessoensis Annotation Release 100	2017/06/15	27323	24532	2530	14961353;28812685
GCF_902652985.1	PRJNA625562	SAMEA994736	CACRWE000000000.1	representative genome	6579	6579	Pecten maximus	na	na	latest	Chromosome	Major	Full	2019/11/26	xPecMax1.1	SC	GCA_902652985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/652/985/GCF_902652985.1_xPecMax1.1	na	na	na	haploid	invertebrate	918306378	917614506	36.500000	19	3983	3983	NCBI RefSeq	NCBI Pecten maximus Annotation Release 100	2020/04/16	30903	26152	4449	na
GCF_021730395.1	PRJNA923304	SAMN15214339	JAIXLV000000000.1	representative genome	6596	6596	Mercenaria mercenaria	strain=notata	na	latest	Chromosome	Major	Full	2022/02/01	MADL_Memer_1	Stony Brook University	GCA_021730395.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/730/395/GCF_021730395.1_MADL_Memer_1	na	na	na	haploid	invertebrate	1858199728	1858182911	35.000000	19	4975	4975	NCBI RefSeq	GCF_021730395.1-RS_2023_01	2023/01/14	45375	38330	6587	35260071
GCF_026914265.1	PRJNA918361	SAMN30560132	na	representative genome	6604	6604	Mya arenaria	na	MELC-2E11	latest	Chromosome	Major	Full	2022/12/15	ASM2691426v1	Pacific Northwest Research Institute	GCA_026914265.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/914/265/GCF_026914265.1_ASM2691426v1	na	na	na	haploid	invertebrate	1216068291	1216014423	35.500000	17	17	17	NCBI RefSeq	GCF_026914265.1-RS_2023_01	2023/01/06	44373	36031	7008	na
GCF_021134715.1	PRJNA794129	SAMN22866247	na	representative genome	6669	6669	Daphnia pulex	na	KAP4	latest	Chromosome	Major	Full	2021/12/09	ASM2113471v1	Arizona State University	GCA_021134715.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/134/715/GCF_021134715.1_ASM2113471v1	na	na	na	haploid	invertebrate	133181052	133180652	40.500000	12	12	12	NCBI RefSeq	NCBI Daphnia pulex Annotation Release 100	2022/01/06	22355	15295	6910	10375625
GCF_015228065.2	PRJNA679074	SAMN14330694	JABERT000000000.1	representative genome	6687	6687	Penaeus monodon	na	SGIC_2016	latest	Chromosome	Minor	Full	2020/11/05	NSTDA_Pmon_1	SAFE-Aqua	GCA_015228065.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/228/065/GCF_015228065.2_NSTDA_Pmon_1	na	na	na	haploid	invertebrate	2391040180	1997476707	36.500000	44	26634	26634	NCBI RefSeq	NCBI Penaeus monodon Annotation Release 100	2020/11/24	31414	24011	4250	10833192
GCF_003789085.1	PRJNA508983	SAMN08721527	QCYY00000000.1	representative genome	6689	6689	Penaeus vannamei	breed=Kehai No.1	na	latest	Scaffold	Major	Full	2018/11/16	ASM378908v1	Institute of Oceanology, Chinese Academy of Sciences	GCA_003789085.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/789/085/GCF_003789085.1_ASM378908v1	na	na	na	haploid	invertebrate	1663565311	1618037618	36.500000	0	4682	4682	NCBI RefSeq	NCBI Penaeus vannamei Annotation Release 100	2018/12/07	30770	24987	4374	na
GCF_018991925.1	PRJNA744898	SAMN16248921	JAHLQT000000000.1	representative genome	6706	6706	Homarus americanus	na	GMGI-L3	latest	Scaffold	Major	Full	2021/06/23	GMGI_Hamer_2.0	Gloucester Marine Genomics Institute, Inc.	GCA_018991925.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/991/925/GCF_018991925.1_GMGI_Hamer_2.0	na	na	na	haploid	invertebrate	2292059586	2291225850	43.000000	0	47245	47245	NCBI RefSeq	NCBI Homarus americanus Annotation Release 100	2021/07/08	27431	22368	4489	21740340;34162536
GCF_020424385.1	PRJNA793253	SAMN19018814	JAIWQB000000000.1	representative genome	6728	6728	Procambarus clarkii	strain=Jiangsu	na	latest	Chromosome	Major	Full	2021/10/12	ASM2042438v2	Freshwater Fisheries Research Institute of Jiangsu Province, Nanjing 210017, China	GCA_020424385.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/424/385/GCF_020424385.1_ASM2042438v2	na	na	na	haploid	invertebrate	2735345304	2734566020	44.000000	94	24238	24238	NCBI RefSeq	NCBI Procambarus clarkii Annotation Release 100	2021/12/30	30545	26417	3561	34303807
GCF_007210705.1	PRJNA1009447	SAMN02640207	VCGU00000000.1	representative genome	6832	6832	Tigriopus californicus	strain=San Diego	na	latest	Chromosome	Major	Full	2019/07/29	Tcal_SD_v2.1	Scripps Institution of Oceanography	GCA_007210705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/210/705/GCF_007210705.1_Tcal_SD_v2.1	na	na	na	haploid	invertebrate	191142546	187158573	42.000000	12	459	459	NCBI RefSeq	GCF_007210705.1-RS_2023_08	2023/08/25	16893	15351	1467	29988158
GCF_000517525.1	PRJNA238073	SAMN02953878	AZTN00000000.1	representative genome	6850	6850	Limulus polyphemus	na	na	latest	Scaffold	Major	Full	2014/01/03	Limulus_polyphemus-2.1.2	Washington University (WashU)	GCA_000517525.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/525/GCF_000517525.1_Limulus_polyphemus-2.1.2	na	na	na	haploid	invertebrate	1828256766	1705771627	33.500000	0	286792	469509	NCBI RefSeq	NCBI Limulus polyphemus Annotation Release 101	2017/08/28	27336	22873	4050	10779542
GCF_013339725.1	PRJNA674876	SAMN14941061	JABSTU000000000.1	representative genome	6941	6941	Rhipicephalus microplus	na	Rmic-2018	latest	Chromosome	Major	Full	2020/06/16	BIME_Rmic_1.3	TIGMIC Group	GCA_013339725.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1	na	na	na	haploid	invertebrate	2529915399	2529757395	46.000000	11	7047	7047	NCBI RefSeq	NCBI Rhipicephalus microplus Annotation Release 100	2020/11/05	28973	18598	9261	24378079;32814014
GCF_016920785.2	PRJNA704952	SAMN16793453	JADPSH000000000.2	representative genome	6945	6945	Ixodes scapularis	na	PalLabHiFi	latest	Scaffold	Major	Full	2021/06/23	ASM1692078v2	University of Maryland	GCA_016920785.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2	na	na	na	haploid	invertebrate	2226883318	2226616818	46.000000	0	648	648	NCBI RefSeq	NCBI Ixodes scapularis Annotation Release 103	2021/07/01	38656	26659	5760	36658436
GCF_020809275.1	PRJNA811591	SAMN10743607	SDOV00000000.1	representative genome	6954	6954	Dermatophagoides farinae	na	JKM2019	latest	Contig	Major	Full	2021/11/09	ASM2080927v1	EasyATGC	GCA_020809275.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/809/275/GCF_020809275.1_ASM2080927v1	na	na	na	haploid	invertebrate	58776842	58776842	30.500000	0	10	10	NCBI RefSeq	NCBI Dermatophagoides farinae Annotation Release 100	2022/03/03	10903	10172	685	34659625
GCF_001901225.1	PRJNA509265	SAMN06062376	MQNO00000000.2	representative genome	6956	6956	Dermatophagoides pteronyssinus	strain=airmid	na	latest	Scaffold	Major	Full	2017/06/21	ASM190122v2	Maynooth University	GCA_001901225.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/225/GCF_001901225.1_ASM190122v2	na	na	na	haploid	invertebrate	70764025	68541224	31.000000	0	1322	1322	NCBI RefSeq	NCBI Dermatophagoides pteronyssinus Annotation Release 100	2018/12/13	11631	11184	319	19284646;28798186
GCF_021461395.2	PRJNA799013	SAMN18214781	JAJNAC000000000.1	representative genome	7009	7009	Schistocerca americana	na	TAMUIC-IGC-003095	latest	Chromosome	Minor	Full	2022/02/14	iqSchAmer2.1	Behavioral Plasticity Research Institute (BPRI)	GCA_021461395.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/395/GCF_021461395.2_iqSchAmer2.1	na	na	na	haploid	invertebrate	8990354198	8990105698	42.500000	12	1750	1750	NCBI RefSeq	NCBI Schistocerca americana Annotation Release 100	2022/03/03	81274	17662	56385	na
GCF_023897955.1	PRJNA859116	SAMN23383904	JAKZLS000000000.1	representative genome	7010	7010	Schistocerca gregaria	na	iqSchGreg1	latest	Chromosome	Major	Full	2022/06/24	iqSchGreg1.2	United States Department of Agriculture	GCA_023897955.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/897/955/GCF_023897955.1_iqSchGreg1.2	na	na	na	haploid	invertebrate	8742418402	8742387202	42.500000	12	1474	1474	NCBI RefSeq	NCBI Schistocerca gregaria Annotation Release 100	2022/08/05	99467	19799	75806	na
GCF_023898315.1	PRJNA845336	SAMN18214786	JAMRYH000000000.1	representative genome	7011	7011	Schistocerca nitens	na	TAMUIC-IGC-003100	latest	Chromosome	Major	Full	2022/06/28	iqSchNite1.1	Behavioral Plasticity Research Institute (BPRI)	GCA_023898315.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/898/315/GCF_023898315.1_iqSchNite1.1	na	na	na	haploid	invertebrate	8822555691	8822398654	42.500000	12	511	511	NCBI RefSeq	NCBI Schistocerca nitens Annotation Release 100	2022/07/11	72560	17500	48772	na
GCF_005508785.2	PRJNA547584	SAMN10253041	SDIB00000000.1	representative genome	7029	7029	Acyrthosiphon pisum	na	AL4f	latest	Chromosome	Minor	Full	2019/05/20	pea_aphid_22Mar2018_4r6ur_v2	The University of Texas at Austin	GCA_005508785.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2	na	na	na	haploid	invertebrate	533632392	498064450	29.500000	4	21227	21227	NCBI RefSeq	NCBI Acyrthosiphon pisum Annotation Release 103	2021/05/24	20307	17681	2329	31173104
GCF_001854935.1	PRJNA352527	SAMN04500967	MAMS00000000.1	representative genome	7038	7038	Bemisia tabaci	na	MEAM1	latest	Scaffold	Major	Full	2016/10/26	ASM185493v1	Cornell University	GCA_001854935.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/935/GCF_001854935.1_ASM185493v1	na	na	na	haploid	invertebrate	615001830	600596789	39.500000	0	19750	19750	NCBI RefSeq	NCBI Bemisia tabaci Annotation Release 100	2016/11/04	15307	13914	1303	15291971;15184137
GCF_002938485.1	PRJNA566109	SAMN08382431	PPTJ00000000.2	representative genome	7048	7048	Sitophilus oryzae	breed=Bouriz	na	latest	Scaffold	Major	Full	2019/09/09	Soryzae_2.0	BF2I	GCA_002938485.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/938/485/GCF_002938485.1_Soryzae_2.0	na	na	na	haploid	invertebrate	770550206	757909272	32.500000	0	2024	2024	NCBI RefSeq	NCBI Sitophilus oryzae Annotation Release 100	2019/09/18	17957	15057	2541	na
GCF_008802855.1	PRJNA576885	SAMN08132578	VVIM00000000.1	representative genome	7054	7054	Photinus pyralis	na	1611_PpyrPB1	latest	Scaffold	Major	Full	2019/10/02	Ppyr1.3	Photinus pyralis genome working group	GCA_008802855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/802/855/GCF_008802855.1_Ppyr1.3	na	na	na	haploid	invertebrate	471511253	470726860	36.500000	0	2160	2160	NCBI RefSeq	NCBI Photinus pyralis Annotation Release 100	2019/10/15	24488	20647	3642	30324905
GCF_000002335.3	PRJNA15718	SAMN02953634	AAJJ00000000.2	representative genome	7070	7070	Tribolium castaneum	strain=Georgia GA2	na	latest	Chromosome	Major	Full	2016/03/10	Tcas5.2	Kansas State University	GCA_000002335.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/335/GCF_000002335.3_Tcas5.2	na	na	na	haploid	invertebrate	165928604	152413474	34.000000	11	2148	7058	NCBI RefSeq	NCBI Tribolium castaneum Annotation Release 103	2016/03/16	14346	12875	1435	12644407;19820115;18362917
GCF_030269925.1	PRJNA1068671	SAMD00586865	na	representative genome	7091	7091	Bombyx mori	strain=p50T	na	latest	Chromosome	Major	Full	2023/07/06	ASM3026992v2	Shimada-lab Faculty of Science Department of Life Science, Gakushuin University	GCA_030269925.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/269/925/GCF_030269925.1_ASM3026992v2	na	na	na	haploid	invertebrate	461688958	459973711	38.500000	29	29	29	NCBI RefSeq	GCF_030269925.1-RS_2024_01	2024/01/25	18210	13459	4662	na
GCF_003987935.1	PRJNA522300	SAMN08782053	PYSK00000000.1	representative genome	7092	7092	Bombyx mandarina	breed=wild silkmoth	Bman2017	latest	Scaffold	Major	Full	2018/12/31	ASM398793v1	Chinese Academy of Sciences	GCA_003987935.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/987/935/GCF_003987935.1_ASM398793v1	na	na	na	haploid	invertebrate	398573003	395988151	37.500000	0	3104	3104	NCBI RefSeq	NCBI Bombyx mandarina Annotation Release 100	2019/02/14	14419	12794	961	29967484;12140251
GCF_023101765.2	PRJNA849517	SAMN26179013	JAKUHG000000000.2	representative genome	7108	7108	Spodoptera frugiperda	na	SF20-4	latest	Chromosome	Major	Full	2022/08/26	AGI-APGP_CSIRO_Sfru_2.0	Australian Pest Genome Partnership	GCA_023101765.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/765/GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0	na	na	na	haploid	invertebrate	383907753	383898493	36.500000	31	68	68	NCBI RefSeq	NCBI Spodoptera frugiperda Annotation Release 102	2022/09/16	16908	14679	2090	na
GCF_003590095.1	PRJNA497582	SAMN07304761	NKQN00000000.1	representative genome	7111	7111	Trichoplusia ni	na	ovarian cell line Hi5	latest	Chromosome	Major	Full	2018/09/24	tn1	University of Massachusetts Medical School	GCA_003590095.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/590/095/GCF_003590095.1_tn1	na	na	na	haploid	invertebrate	368211209	367266209	35.500000	28	1031	1031	NCBI RefSeq	NCBI Trichoplusia ni Annotation Release 100	2018/10/23	17445	15089	1863	29376823
GCF_022581195.2	PRJNA818699	SAMN25818888	JAKYJW000000000.1	representative genome	7113	7113	Helicoverpa zea	na	HzStark_Cry1AcR	latest	Chromosome	Minor	Full	2022/03/18	ilHelZeax1.1	United States Department of Agriculture	GCA_022581195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/581/195/GCF_022581195.2_ilHelZeax1.1	na	na	na	haploid	invertebrate	375165593	375163385	37.000000	31	42	42	NCBI RefSeq	NCBI Helicoverpa zea Annotation Release 100	2022/03/23	16988	14933	1813	na
GCF_905147105.1	PRJNA793880	SAMEA7532735	CAJHUI000000000.1	representative genome	7116	7116	Pieris brassicae	na	na	latest	Chromosome	Major	Full	2021/01/28	ilPieBrab1.1	Wellcome Sanger Institute	GCA_905147105.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/147/105/GCF_905147105.1_ilPieBrab1.1	na	na	na	haploid	invertebrate	292325833	292320196	34.000000	16	401	401	NCBI RefSeq	NCBI Pieris brassicae Annotation Release 100	2022/01/04	14350	11885	2329	na
GCF_014839805.1	PRJNA674349	SAMN15881793	JACVES000000000.1	representative genome	7130	7130	Manduca sexta	na	Smith_Timp_Sample1	latest	Chromosome	Major	Full	2020/10/02	JHU_Msex_v1.0	Johns Hopkins University	GCA_014839805.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/839/805/GCF_014839805.1_JHU_Msex_v1.0	na	na	na	haploid	invertebrate	470021481	468936481	35.500000	28	4056	4056	NCBI RefSeq	NCBI Manduca sexta Annotation Release 102	2020/11/04	19909	15967	3023	18065166
GCF_026898425.1	PRJNA914685	SAMN31432028	JAPDED000000000.1	representative genome	7137	7137	Galleria mellonella	na	WM207_F2	latest	Contig	Major	Full	2022/12/14	CSIRO_AGI_GalMel_v1	Rahul Vivek Rane	GCA_026898425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/898/425/GCF_026898425.1_CSIRO_AGI_GalMel_v1	na	na	na	haploid	invertebrate	471899840	471899840	33.500000	0	220	220	NCBI RefSeq	GCF_026898425.1-RS_2022_12	2022/12/22	15138	13604	1335	na
GCF_002204515.2	PRJNA392114	SAMN07177802	NIGP00000000.1	representative genome	7159	7159	Aedes aegypti	strain=LVP_AGWG	na	latest	Chromosome	Major	Full	2017/06/22	AaegL5.0	Aedes aegypti Genome Working Group (AGWG)	GCA_002204515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0	na	na	na	haploid-with-alt-loci	invertebrate	1278715314	1278692379	38.000000	3	2309	2309	NCBI RefSeq	NCBI Aedes aegypti Annotation Release 101	2017/07/12	19623	14626	4615	30429615
