##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_028827035.1	PRJNA973687	SAMN30185319	JAPQKU000000000.1	representative genome	5076	5076	Penicillium chrysogenum	strain=IBT 35668	na	latest	Contig	Major	Full	2023/02/23	ASM2882703v1	Aalborg University	GCA_028827035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/035/GCF_028827035.1_ASM2882703v1	na	na	na	haploid	fungi	32379777	32379777	49.000000	0	4	4	Aalborg University	Annotation submitted by Aalborg University	2023/06/20	11975	11974	0	36726175
GCF_028827155.1	PRJNA973687	SAMN30185321	JAPQKT000000000.1	representative genome	5077	5077	Penicillium citrinum	strain=IBT 23319	na	latest	Contig	Major	Full	2023/02/23	ASM2882715v1	Aalborg University	GCA_028827155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/155/GCF_028827155.1_ASM2882715v1	na	na	na	haploid	fungi	31396546	31396546	46.500000	0	12	12	Aalborg University	Annotation submitted by Aalborg University	2023/06/20	11664	11664	0	36726175
GCF_001561935.1	PRJNA721990	SAMN03860337	LHQR00000000.1	representative genome	5078	5078	Penicillium griseofulvum	strain=PG3	na	latest	Contig	Major	Full	2016/02/16	ASM156193v1	University of Turin	GCA_001561935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/935/GCF_001561935.1_ASM156193v1	na	na	na	haploid	fungi	29140916	29140916	47.500000	0	92	92	University of Turin	Annotation submitted by University of Turin	2021/04/20	9629	9629	0	26729047
GCF_015533775.1	PRJNA691334	SAMN14669941	JABCSE000000000.1	representative genome	5082	5082	Penicillium roqueforti	strain=LCP96 04111	na	latest	Scaffold	Major	Full	2020/11/17	ASM1553377v1	Utrecht University	GCA_015533775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/533/775/GCF_015533775.1_ASM1553377v1	na	na	na	haploid	fungi	26941230	26940775	48.500000	0	83	83	Utrecht University	Annotation submitted by Utrecht University	2023/04/03	9810	9781	29	32846509
GCF_028828765.1	PRJNA973687	SAMN30185308	JAQJZN000000000.1	representative genome	5083	5083	Penicillium canescens	strain=IBT 15451	na	latest	Contig	Major	Full	2023/02/23	ASM2882876v1	Aalborg University	GCA_028828765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/828/765/GCF_028828765.1_ASM2882876v1	na	na	na	haploid	fungi	46284494	46284494	49.000000	0	15	15	Aalborg University	Annotation submitted by Aalborg University	2023/07/28	14207	14180	27	36726175
GCF_021052385.1	PRJNA801213	SAMN14510447	JAIFAB000000000.1	representative genome	5210	5210	Filobasidium floriforme	strain=CBS 6241	na	latest	Contig	Major	Full	2021/12/03	Filflo1	DOE Joint Genome Institute	GCA_021052385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/052/385/GCF_021052385.1_Filflo1	na	assembly from type material	na	haploid	fungi	27469088	27469088	53.000000	0	42	42	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022/03/14	8420	8301	116	34791213
GCF_014466165.1	PRJNA670761	SAMN15594696	JACETU000000000.1	representative genome	5322	5322	Pleurotus ostreatus	strain=PC9	na	latest	Contig	Major	Full	2020/09/03	ASM1446616v1	Academia Sinica	GCA_014466165.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/466/165/GCF_014466165.1_ASM1446616v1	na	na	na	haploid	fungi	34897228	34897228	51.000000	0	16	16	Academia Sinica	Annotation submitted by Academia Sinica	2023/12/29	11849	11694	155	18248422
GCF_021015755.1	PRJNA801212	SAMN08778769	JABWDW000000000.1	representative genome	5353	5353	Lentinula edodes	strain=Le(Bin) 0899 ss11	na	latest	Contig	Major	Full	2021/11/30	Lenedo1	DOE Joint Genome Institute	GCA_021015755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/015/755/GCF_021015755.1_Lenedo1	na	na	na	haploid	fungi	45594472	45594472	46.000000	0	128	128	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022/01/28	14392	14078	311	na
GCF_004011695.2	PRJNA691330	SAMN10613128	na	representative genome	5454	5454	Ascochyta rabiei	na	Me14	latest	Complete Genome	Major	Full	2022/08/25	ASM401169v2	Curtin University	GCA_004011695.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/011/695/GCF_004011695.2_ASM401169v2	na	na	na	haploid	fungi	40846718	40846718	49.000000	22	22	22	Curtin University	Annotation submitted by Curtin University	2023/09/19	11642	11525	105	32345704
GCF_014235925.1	PRJNA670759	SAMN12683944	VUJX00000000.1	representative genome	5467	5467	Colletotrichum truncatum	strain=CMES1059	na	latest	Contig	Major	Full	2020/08/18	CTRU02	University of Salamanca	GCA_014235925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/235/925/GCF_014235925.1_CTRU02	na	na	na	haploid	fungi	56102516	56102516	50.000000	0	126	126	University of Salamanca	Annotation submitted by University of Salamanca	2022/02/28	15888	15888	0	32352862
GCF_000002545.3	PRJNA12376	SAMEA3138172	na	representative genome	5478	5478	Nakaseomyces glabratus	strain=CBS 138	na	latest	Chromosome	Major	Full	2008/08/12	ASM254v2	Genolevures Consortium	GCA_000002545.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/545/GCF_000002545.3_ASM254v2	na	assembly from type material	na	haploid	fungi	12318245	12317945	38.500000	13	13	13	Genolevures Consortium	Annotation submitted by Genolevures Consortium	2017/11/08	5458	5212	246	12527359;15229592
GCF_000182765.1	PRJNA12179	na	na	representative genome	5480	5480	Candida parapsilosis	strain=CDC317	na	latest	Contig	Major	Full	2011/10/26	ASM18276v2	Wellcome Trust Sanger Institute	GCA_000182765.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/765/GCF_000182765.1_ASM18276v2	na	na	na	haploid	fungi	12998393	12998393	38.500000	0	8	8	Wellcome Trust Sanger Institute	Annotation submitted by Wellcome Trust Sanger Institute	2023/04/03	5950	5827	97	7715605;7545927;15657051;7521869;11071936;15133118;11923346;15449175
GCF_008704595.1	PRJNA629604	SAMN11490865	SWFT00000000.1	representative genome	5481	5481	Diutina rugosa	strain=CBS 613	na	latest	Scaffold	Major	Full	2019/09/26	ASM870459v1	Centre for Genomic Regulation	GCA_008704595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/595/GCF_008704595.1_ASM870459v1	na	assembly from type material	na	haploid	fungi	13445959	13433795	49.500000	0	169	169	Centre for Genomic Regulation	Annotation submitted by Centre for Genomic Regulation	2020/05/06	5819	5815	0	31575637
GCF_020509005.1	PRJNA801200	SAMN12769558	na	representative genome	5499	5499	Fulvia fulva	strain=Race5_Kim	na	latest	Complete Genome	Major	Full	2022/01/24	Cfulv_R5_v5	University of California	GCA_020509005.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/509/005/GCF_020509005.1_Cfulv_R5_v5	na	na	na	haploid	fungi	67169167	67169167	49.000000	14	14	14	University of California	Annotation submitted by University of California	2023/09/11	14993	14993	0	35471194
GCF_001642055.1	PRJNA342680	SAMN02745592	LXPP00000000.1	representative genome	5599	5599	Alternaria alternata	strain=SRC1lrK2f	na	latest	Scaffold	Major	Full	2016/05/11	Altal1	DOE Joint Genome Institute	GCA_001642055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/055/GCF_001642055.1_Altal1	na	na	na	haploid	fungi	32990834	32986874	51.500000	0	79	91	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016/09/26	13577	13466	106	na
GCF_011074865.1	PRJNA691332	SAMN12257692	na	representative genome	13502	13502	Brettanomyces nanus	strain=CBS 1945	na	latest	Complete Genome	Major	Full	2020/12/03	ASM1107486v2	Australian Wine Research Institute	GCA_011074865.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/865/GCF_011074865.1_ASM1107486v2	na	assembly from type material	na	haploid	fungi	10117252	10117252	41.500000	4	4	4	Australian Wine Research Institute	Annotation submitted by Australian Wine Research Institute	2021/02/13	4823	4711	112	na
GCF_002079055.1	PRJNA625777	SAMEA2757769	na	representative genome	27291	27291	Saccharomyces paradoxus	strain=CBS432	na	latest	Chromosome	Major	Full	2017/03/21	ASM207905v1	SC	GCA_002079055.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/079/055/GCF_002079055.1_ASM207905v1	na	assembly designated as neotype	na	haploid	fungi	12021328	12003971	38.500000	16	16	16	SC	Annotation submitted by SC	2023/04/03	5840	5538	302	22830625;28416820
GCF_000769745.1	PRJNA319326	SAMN02928573	JQFZ00000000.1	representative genome	27334	27334	Penicillium expansum	strain=MD-8	na	latest	Contig	Major	Full	2014/10/28	ASM76974v1	Center for Genomic Regulation (CRG)	GCA_000769745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/745/GCF_000769745.1_ASM76974v1	na	na	na	haploid	fungi	32356048	32356048	47.500000	0	382	382	Center for Genomic Regulation (CRG)	Annotation submitted by Center for Genomic Regulation (CRG)	2017/08/28	11060	11060	0	25338147
GCF_030867785.1	PRJNA1032067	SAMN05442906	JAHMHS000000000.1	representative genome	27357	27357	Colletotrichum acutatum	strain=CBS 112980	na	latest	Contig	Major	Full	2023/08/24	Colac2	DOE Joint Genome Institute	GCA_030867785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/867/785/GCF_030867785.1_Colac2	na	na	na	haploid	fungi	49057477	49057477	52.000000	0	389	389	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2023/10/30	15371	15032	334	na
GCF_900007245.1	PRJNA1073845	SAMEA3494976	CXVZ00000000.1	representative genome	28549	28549	Priceomyces carsonii	strain=CBS4050	na	latest	Scaffold	Major	Full	2023/06/12	AQF_AC_PRJEB9495_v1	Genoscope CEA	GCA_900007245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/007/245/GCF_900007245.1_AQF_AC_PRJEB9495_v1	na	na	na	haploid	fungi	11764505	11666631	37.000000	0	10	90	Genoscope CEA	Annotation submitted by Genoscope CEA	2024/02/07	6179	6179	0	na
GCF_000002515.2	PRJNA12377	SAMEA3138170	na	representative genome	28985	28985	Kluyveromyces lactis	strain=NRRL Y-1140	na	latest	Complete Genome	Major	Full	2004/07/02	ASM251v1	Genolevures Consortium	GCA_000002515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/515/GCF_000002515.2_ASM251v1	na	na	na	haploid	fungi	10689156	10689156	39.000000	6	6	6	Genolevures Consortium	Annotation submitted by Genolevures Consortium	2023/04/03	5335	5084	251	15229592;15691736
GCF_028829585.1	PRJNA973687	SAMN30185383	JAQKAQ000000000.1	representative genome	29845	29845	Penicillium vulpinum	strain=IBT 29486	na	latest	Contig	Major	Full	2023/02/23	ASM2882958v1	Aalborg University	GCA_028829585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/829/585/GCF_028829585.1_ASM2882958v1	na	na	na	haploid	fungi	31511571	31511571	47.500000	0	6	6	Aalborg University	Annotation submitted by Aalborg University	2023/06/12	11521	11521	0	36726175
GCF_025094135.1	PRJNA895885	SAMN10864749	JALPTJ000000000.1	representative genome	29922	29922	Mucor mucedo	strain=NRRL 3635	na	latest	Contig	Major	Full	2022/09/08	Mucmuc1	DOE Joint Genome Institute	GCA_025094135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/094/135/GCF_025094135.1_Mucmuc1	na	na	na	haploid	fungi	46086937	46086937	36.500000	0	455	455	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022/11/01	14226	14042	183	35996588
GCF_001653265.1	PRJNA342689	SAMN04404347	LSBI00000000.1	representative genome	33203	33203	Purpureocillium lilacinum	na	PLFJ-1	latest	Scaffold	Major	Full	2016/05/27	ASM165326v1	The Institute of Vegetables and Flowers CAAS	GCA_001653265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/265/GCF_001653265.1_ASM165326v1	na	na	na	haploid	fungi	38534601	38212103	58.500000	0	163	163	The Institute of Vegetables and Flowers CAAS	Annotation submitted by The Institute of Vegetables and Flowers CAAS	2017/08/28	11850	11763	86	27416025
GCF_034447905.1	PRJNA1073607	SAMN37882108	na	representative genome	34406	34406	Colletotrichum destructivum	strain=CBS 520.97	na	latest	Complete Genome	Major	Full	2023/12/18	ASM3444790v1	INRAE	GCA_034447905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/447/905/GCF_034447905.1_ASM3444790v1	na	na	na	haploid	fungi	51750812	51750812	54.500000	12	12	12	INRAE	Annotation submitted by INRAE	2024/02/07	15627	15627	0	na
GCF_022264815.1	PRJNA835131	SAMN08778392	JADCUA000000000.1	representative genome	34475	34475	Rhodofomes roseus	strain=CIRM-BRFM 1785	na	latest	Contig	Major	Full	2022/02/15	Fomros1	DOE Joint Genome Institute	GCA_022264815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/264/815/GCF_022264815.1_Fomros1	na	na	na	haploid	fungi	38369625	38369625	56.000000	0	80	80	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022/05/06	13143	12986	153	33538380
GCF_020623625.1	PRJNA801202	SAMN13064121	JACTOA000000000.1	representative genome	36035	36035	Saccharomycodes ludwigii	strain=NBRC 1722	na	latest	Chromosome	Major	Full	2021/10/26	UHD_SCDLUD_16	University of Heidelberg	GCA_020623625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/623/625/GCF_020623625.1_UHD_SCDLUD_16	na	na	na	haploid	fungi	12500424	12400424	31.000000	7	8	8	University of Heidelberg	Annotation submitted by University of Heidelberg	2022/01/28	5335	5026	309	na
GCF_019609905.1	PRJNA774197	SAMN13054494	WOUF00000000.1	representative genome	36050	36050	Fusarium poae	strain=DAOMC 252244	na	latest	Chromosome	Major	Full	2021/08/19	ASM1960990v1	Agriculture and Agri-Food Canada	GCA_019609905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/609/905/GCF_019609905.1_ASM1960990v1	na	na	na	haploid	fungi	43859651	43859651	46.500000	4	12	12	Agriculture and Agri-Food Canada	Annotation submitted by Agriculture and Agri-Food Canada	2021/11/23	14125	13851	274	34348672
GCF_028826855.1	PRJNA973687	SAMN30185323	JAPQKM000000000.1	representative genome	36646	36646	Penicillium coprophilum	strain=IBT 35676	na	latest	Contig	Major	Full	2023/02/23	ASM2882685v1	Aalborg University	GCA_028826855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/826/855/GCF_028826855.1_ASM2882685v1	na	na	na	haploid	fungi	29014640	29014640	48.000000	0	7	7	Aalborg University	Annotation submitted by Aalborg University	2023/06/02	10983	10982	0	36726175
GCF_028827405.1	PRJNA973687	SAMN30185325	JAPZBV000000000.1	representative genome	36656	36656	Penicillium crustosum	strain=IBT 35664	na	latest	Contig	Major	Full	2023/02/23	ASM2882740v1	Aalborg University	GCA_028827405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/405/GCF_028827405.1_ASM2882740v1	na	na	na	haploid	fungi	32953279	32953279	48.000000	0	11	11	Aalborg University	Annotation submitted by Aalborg University	2023/06/06	12343	12313	0	36726175
GCF_030384665.1	PRJNA1043637	SAMN33325380	na	representative genome	36914	36914	Lodderomyces elongisporus	strain=NRRL YB-4239	na	latest	Complete Genome	Major	Full	2023/07/02	ASM3038466v1	University of Illinois Urbana-Champaign	GCA_030384665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/384/665/GCF_030384665.1_ASM3038466v1	na	assembly from type material	na	haploid	fungi	16086460	16086460	37.000000	8	8	8	University of Illinois Urbana-Champaign	Annotation submitted by University of Illinois Urbana-Champaign	2023/11/21	5731	5630	100	na
GCF_009556855.1	PRJNA945037	SAMN10960796	na	representative genome	37727	37727	Talaromyces marneffei	na	11CN-20-091	latest	Complete Genome	Major	Full	2019/11/05	ASM955685v1	Broad Institute	GCA_009556855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/556/855/GCF_009556855.1_ASM955685v1	na	na	na	haploid	fungi	28198338	28198338	47.000000	8	8	8	Broad Institute	Annotation submitted by Broad Institute	2023/03/16	10066	9994	50	na
GCF_000151645.1	PRJNA49017	SAMEA2272024	CABJ00000000.1	representative genome	39416	39416	Tuber melanosporum	strain=Mel28	na	latest	Scaffold	Major	Full	2010/05/03	ASM15164v1	The French-Italian Tuber Genome Consortium	GCA_000151645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/645/GCF_000151645.1_ASM15164v1	na	na	na	haploid	fungi	124945702	123533734	45.000000	0	398	4455	The French-Italian Tuber Genome Consortium	Annotation submitted by The French-Italian Tuber Genome Consortium	2022/12/20	7420	7420	0	20348908
GCF_000988165.1	PRJNA445857	SAMN02213592	JPQZ00000000.1	representative genome	40302	40302	Vairimorpha ceranae	strain=PA08 1199	na	latest	Contig	Major	Full	2015/05/05	ASM98816v1	University of Ottawa	GCA_000988165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/165/GCF_000988165.1_ASM98816v1	na	na	na	haploid	fungi	5690748	5690748	25.500000	0	536	536	University of Ottawa	Annotation submitted by University of Ottawa	2018/03/31	3265	3209	37	25914091
GCF_028827395.1	PRJNA973687	SAMN30185341	JAQJAE000000000.1	representative genome	40994	40994	Penicillium hordei	strain=IBT 12815	na	latest	Contig	Major	Full	2023/02/23	ASM2882739v1	Aalborg University	GCA_028827395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/395/GCF_028827395.1_ASM2882739v1	na	na	na	haploid	fungi	33792161	33792161	47.500000	0	6	6	Aalborg University	Annotation submitted by Aalborg University	2023/06/06	12337	12337	0	36726175
GCF_002237265.1	PRJNA495493	SAMN07177963	NKHU00000000.2	representative genome	41047	41047	Aspergillus thermomutatus	strain=HMR AF 39	na	latest	Contig	Major	Full	2018/09/12	ASM223726v2	University of Montreal	GCA_002237265.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/265/GCF_002237265.1_ASM223726v2	na	na	na	haploid	fungi	30945974	30945974	50.000000	0	647	647	University of Montreal	Annotation submitted by University of Montreal	2018/10/12	9701	9701	0	na
GCF_002847045.1	PRJNA453588	SAMN05446799	PKFS00000000.1	representative genome	41067	41067	Aspergillus candidus	strain=CBS 102.13	na	latest	Scaffold	Major	Full	2017/12/21	Aspcand1	DOE Joint Genome Institute	GCA_002847045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/847/045/GCF_002847045.1_Aspcand1	na	na	na	haploid	fungi	27317772	27309638	52.000000	0	268	316	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2018/04/26	9803	9639	163	na
GCF_013402915.1	PRJNA670754	SAMN14605243	na	representative genome	42260	42260	Zygotorulaspora mrakii	strain=NRRL Y-6702	na	latest	Complete Genome	Major	Full	2020/07/12	ASM1340291v1	University College Dublin	GCA_013402915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/402/915/GCF_013402915.1_ASM1340291v1	na	na	na	haploid	fungi	10412516	10412516	40.000000	8	8	8	University College Dublin	Annotation submitted by University College Dublin	2020/11/10	5246	5038	201	na
GCF_013396075.1	PRJNA670753	SAMN13683616	JAAOAV000000000.1	representative genome	42677	42677	Fusarium subglutinans	strain=NRRL 66333	na	latest	Contig	Major	Full	2020/07/10	ASM1339607v1	US Department of Agriculture, Agriculture Research Service	GCA_013396075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/396/075/GCF_013396075.1_ASM1339607v1	na	na	na	haploid	fungi	44177197	44177197	48.000000	0	904	904	US Department of Agriculture, Agriculture Research Service	Annotation submitted by US Department of Agriculture, Agriculture Research Service	2023/12/29	14039	14039	0	33059601
GCF_024521635.1	PRJNA895876	SAMN06266975	JAJJXF000000000.1	representative genome	43433	43433	Tricharina praecox	strain=CBS 144465	na	latest	Contig	Major	Full	2022/08/04	Tripra1	DOE Joint Genome Institute	GCA_024521635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/521/635/GCF_024521635.1_Tripra1	na	na	na	haploid	fungi	38357564	38357564	54.500000	0	104	104	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022/11/01	10719	10412	304	35898177
GCF_012971845.1	PRJNA645153	SAMN07172427	QCYV00000000.1	representative genome	45133	45133	Lasiodiplodia theobromae	strain=AM2As	na	latest	Contig	Major	Full	2020/05/04	ASM1297184v1	Beltsville Agricultural Research Center	GCA_012971845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/971/845/GCF_012971845.1_ASM1297184v1	na	na	na	haploid	fungi	43694574	43694574	54.500000	0	296	296	Beltsville Agricultural Research Center	Annotation submitted by Beltsville Agricultural Research Center	2020/08/04	13054	13054	0	31580730
